keys,ja,en
manual.ai.standoff.desc,先手を取れる距離まで詰めて、そこを保つ。間合いに入られたら撃つ。敵の移動力と射程の外＝相手が触れられない距離で止まるので、素直に寄ると必ず先に撃たれる。足の速い駒で回り込むか、壁際へ押し込むかの判断が生まれる。,"Closes to the distance where it shoots first and holds there, firing at anything that comes into reach. It stops just outside what you could cross and shoot in one turn, so walking straight at it always means taking the first hit. You either flank with something fast or push it against a wall."
manual.ai.standoff.start,行動開始条件,Activation
manual.ai.standoff.start1,常時（最初から動いている）,Always — active from the first turn.
manual.ai.standoff.rules,行動ルール,Action Rules
manual.ai.standoff.rule1.cond,占領兵で、移動範囲に自分の陣営以外の拠点がある,It can capture and there is a base not its own in Move Range
manual.ai.standoff.rule1.act,盤上距離が最小の拠点へ移動して占領する,Move to the nearest base by Hex Distance and capture it
manual.ai.standoff.rule2.cond,スキルを持っていて、スキル射程内に stack 条件を満たす対象がいる,It has a skill and a target meeting the stack condition is in range
manual.ai.standoff.rule2.act,盤上距離が最小の対象にスキルを掛ける,Cast on the nearest such target by Hex Distance
manual.ai.standoff.rule3.cond,攻撃射程内に仕留められる空敵がいる,A lethal air target is within attack range
manual.ai.standoff.rule3.act,反撃されない敵を優先し、その中で戦果が最大の敵を攻撃する,"Prefer those that cannot counter, then attack whichever yields the greatest Damage"
manual.ai.standoff.rule4.cond,攻撃射程内に空敵がいる,An air target is within attack range
manual.ai.standoff.rule4.act,反撃されない敵を優先し、その中で戦果が最大の敵を攻撃する,"Prefer those that cannot counter, then attack whichever yields the greatest Damage"
manual.ai.standoff.rule5.cond,攻撃射程内に仕留められる敵がいる,A lethal target is within attack range
manual.ai.standoff.rule5.act,反撃されない敵を優先し、その中で戦果が最大の敵を攻撃する,"Prefer those that cannot counter, then attack whichever yields the greatest Damage"
manual.ai.standoff.rule6.cond,攻撃射程内に敵がいる,An enemy is within attack range
manual.ai.standoff.rule6.act,反撃されない敵を優先し、その中で戦果が最大の敵を攻撃する,"Prefer those that cannot counter, then attack whichever yields the greatest Damage"
manual.ai.standoff.rule7.cond,移動距離が測れる敵がいる,Some enemy has a measurable Move Distance
manual.ai.standoff.rule7.act,移動距離が最小の敵へ間合取りする,Take Spacing against the nearest by Move Distance
manual.ai.standoff.rule8.cond,地形距離が測れる敵がいる,Some enemy has a measurable Terrain Distance
manual.ai.standoff.rule8.act,地形距離が最小の敵へ見込前進する,Make a projected advance toward the nearest by Terrain Distance
manual.ai.standoff.rule9.cond,盤上に攻撃できる敵がいる,There is some attackable enemy on the board
manual.ai.standoff.rule9.act,盤上距離が最小の敵へ直線寄せする,Make a straight approach toward the nearest by Hex Distance
manual.ai.standoff.note1,移動先は脅威圏の外のマスに限る（1行目の占領を除く）。7〜9行目はどれもこの制約の中で行き先を選び、脅威圏の外に行き先が無ければ動かない。,"Every destination must lie outside the Threat Range, capture in rule 1 excepted. Rules 7 to 9 all choose within that limit, and if nothing outside it is available the unit does not move."
manual.ai.standoff.note2,7行目は詰める行でもあり下がる行でもある。近すぎれば下がり、遠すぎれば詰める。射程の上限より遠くへは行かないので、距離感がひとりでに定まる。隣接されて撃てないときも7行目で脅威圏の外へ動き、そのあと表を当て直して撃つ。近接の駒に振ると、脅威圏の外から撃てるマスが1つも無い＝3〜6行目でしか攻撃しない駒になる。,"Rule 7 both closes and backs off — too near and it retreats, too far and it advances — and since it never goes beyond its own maximum range the spacing settles itself. When an adjacent enemy stops it shooting, rule 7 steps outside the Threat Range and the table is read again so it fires. Given to a melee unit it finds no hex outside the Threat Range from which to shoot at all, and ends up attacking only through rules 3 to 6."
manual.ai.transport.title,輸送ユニット,Transport
manual.ai.transport.desc,搭乗数が2以上の駒に自動で付く性質。部隊に割り当てられた特性に重ねて働き、運ぶことに徹する。運搬役だと盤から分かるので、中身が降りる前に潰すかどうかを選べる。,"A property that attaches automatically to any unit with a Capacity of 2 or more. It layers on top of the squad's trait and devotes the unit to carrying. You can tell a hauler by watching the board, which lets you decide whether to break it before its cargo gets out."
manual.ai.transport.note1,部隊の中で最後に動く（同じ部隊の駒が乗り込んでから動くため）。目的地のマスには乗らない＝拠点を目指すなら手前で止まる。塞ぐと運んできた占領兵も他の味方も拠点へ入れなくなるため。,"It moves last within its squad, so that squadmates can board first. It never steps onto its destination hex — heading for a base, it stops short of it — because sitting on the hex would keep the very unit it carried from entering."
manual.ai.transport.note2,攻撃しない。自分からは仕掛けないという意味で、殴られたときの反撃は起きる。攻撃力を持つ輸送も、敵として置かれている限りは撃たない。乗り降りをいつ行うかは、重ねた特性の行動ルールが決める。,"It does not attack. That means it never initiates — it still counters when struck. Even a transport with attack values holds its fire while it is on the enemy side. When it loads and unloads is decided by the action rules of the trait beneath it."
manual.base.title,拠点・占領,Bases and Capture
manual.base.main.title,拠点・占領,Bases and Capture
manual.base.main.intro,拠点は盤の上の城や砦で、守りに強い地形であると同時に、占領・出撃・回復の3つの働きを持つ。町・礼拝堂・詰所の見た目のものもあるが、扱いは同じになる。,"Bases are the castles and forts on the board. They are strong defensive terrain and they also do three other things: they can be captured, they deploy reserves, and they heal. Some look like towns, chapels or guardhouses, but they all work the same way."
manual.base.main.capture,占領,Capture
manual.base.main.capture1,占領できるのは占領兵だけ。敵か中立の拠点のマスへ入ると、待機のかわりに占領が選べるようになり、選んだ時点でその拠点は自軍のものになる。占領した占領兵はレベルが10上がる。,"Only the clergy can capture. Move one onto an enemy or neutral base hex and the Wait command becomes Capture; choosing it hands the base to you on the spot. The unit that captures gains 10 levels."
manual.base.main.capture2,拠点のマスに敵が立っている間は入れない。倒してから入ることになる。,You cannot enter a base hex while an enemy is standing on it. It has to be destroyed first.
manual.base.main.deploy,出撃,Deploying
manual.base.main.deploy1,拠点は中に控えの駒を抱えている。所有者はその中から1体を選び、拠点に隣接する空きマスへ出せる。出した駒はそのターン行動が終わり、次のターンから動ける。,"A base holds reserves inside it. Whoever owns the base picks one and puts it on an empty hex beside it. The unit is finished for that turn and acts normally from the next one."
manual.base.main.deploy2,出せるのはその駒が入れる地形だけ。拠点に隣接する味方の輸送に、そのまま乗せることもできる（盤には出ないので、そのターンは降ろせない）。,"A unit can only be deployed onto terrain it is able to enter. It can also be put straight into a friendly transport beside the base — it never touches the board, so it cannot be unloaded that turn."
manual.base.main.recover,回復,Healing
manual.base.main.recover1,自軍の拠点のマスでは、待機のかわりに入るを選べる。入った駒は盤から消えて中で休み、次のターン開始で満員まで回復する。戻すには出撃を使う。レベルは据え置き。,"On a base hex you own, the Wait command becomes Enter. A unit that enters leaves the board and rests inside, coming back to full strength at the start of the next turn. Getting it out again means deploying it. Levels are untouched."
manual.base.main.recover2,回復できるのは、もとから味方か中立の拠点だけ。敵の拠点は奪っても出撃には使えるが、回復には使えない。,"Only bases that were originally friendly or neutral heal. Taking an enemy base gives you somewhere to deploy from, but not somewhere to heal."
manual.base.main.neutral,中立拠点,Neutral Bases
manual.base.main.neutral1,中立の拠点の控えは、まだどちらのものでもない。先に解放した側の戦力になり、それは一度きり＝あとで拠点を奪い返されても寝返らない。閉じ込められて出られなくなるだけで、消えはしない。,"The reserves in a neutral base belong to nobody yet. They join whichever side frees them first, and that happens once — retaking the base later does not turn them. They are only shut in, never lost."
manual.base.main.hq,本拠地,Headquarters
manual.base.main.hq1,拠点の中には本拠地がある。取られると負け、取れば勝ちになる拠点で、盤の勝敗そのものを握っている。ステージによっては、守るべき拠点が別に名指しされていることもある。,"Some bases are headquarters. Losing yours loses the stage and taking theirs wins it — they hold the outcome outright. Some stages also name other bases you are required to hold."
manual.rank.title,評価ランク,Rank
manual.rank.main.title,評価ランク,Rank
manual.rank.main.intro,勝ったステージには S / A / B の評価が付く。同じ勝ちでも上手い勝ちがある、ということを示すためのもので、負けたときには付かない。,"Winning a stage earns a rank of S, A or B. It exists to show that some wins are better than others. Losing earns no rank at all."
manual.rank.main.axis,2つの軸,Two Measures
manual.rank.main.axis1,見るのは2つ。使ったターン数と、生き残った駒の数。それぞれで S / A / B を出し、低いほうが最終の評価になる。速く終えても駒を失えば上がらないし、大事に戦っても時間を掛けすぎれば上がらない。,"Two things are measured: how many turns you used and how many units survived. Each gives its own S, A or B and the lower of the two becomes the final rank. Finishing fast does not help if you spent units, and fighting carefully does not help if you took too long."
manual.rank.main.axis2,生き残りは駒の数で数える。兵数が減っていても、駒が残っていれば生存として数える。盤の上だけでなく、輸送の中と拠点の中の駒も数えるので、傷ついた駒を拠点へ退避させても失った扱いにはならない。,"Survival is counted in units, not soldiers — a unit that is down to its last soldier still counts as alive. Units inside transports and inside bases are counted too, so pulling a damaged unit back into a base does not read as a loss."
manual.rank.main.axis3,兵器（バリケード・バリスタ）は数に入らない。置いて壊させるための駒で、動かせないから下がらせることもできない。失っても評価は下がらず、敵の兵器を壊しても撃破の数には乗らない。,"War Machines (barricades and ballistae) are not counted. They are there to be placed and broken, and they cannot be pulled back, so losing one does not lower your rank. Destroying an enemy's does not add to your tally either."
manual.rank.main.record,記録,Records
manual.rank.main.record1,評価はステージごとに、いちばん良かったものが残る。挑み直して前より良い評価を出せば更新される。,"The best rank you have achieved is kept for each stage, and replaying to a better one replaces it."
